sn,name,type,package_kind,priority,complexity,scene,biz_line,risk_mechanism,assigned_agents,source_folder,source_title,topic,risk_terms,data_terms,method_terms,audit_goal,data_dependencies,output_type,source_file
MAGSUPV-0097,进一步提升财政部门财会监督效能的思考案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,财政监督,进一步提升财政部门财会监督效能的思考,进一步提升财政部门财会监督效能的思考,违规；异常；风险；舞弊；虚假；重复；内控；不合规；真实性；完整性；绩效；预警,数据；清单；支付；预算；决算；指标；审批；采购；资产；税收；资金；会计,算法；规则；指标；评价；比对；核查；穿透；预警；监测；识别；分析；研究,基于杂志案例《进一步提升财政部门财会监督效能的思考》提炼“进一步提升财政部门财会监督效能的思考”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,进一步提升财政部门财会监督效能的思考疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\13.进一步提升财政部门财会监督效能的思考.md
MAGAGR-0026,以跟踪评价模式探索提升财会监督工作质效案例检测算法,杂志案例算法,algorithm,P0,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,财政监督,以跟踪评价模式探索提升财会监督工作质效,以跟踪评价模式探索提升财会监督工作质效,违规；风险；挪用；损失；闲置；截留；内控；完整性；绩效；偏离；预警；隐患,数据；台账；清单；凭证；支付；预算；指标；保单；样本；审批；采购；绩效目标,算法；规则；指标；评价；比对；核查；穿透；预警；分析；审查；研究；体系,基于杂志案例《以跟踪评价模式探索提升财会监督工作质效》提炼“以跟踪评价模式探索提升财会监督工作质效”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,以跟踪评价模式探索提升财会监督工作质效疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.以跟踪评价模式探索提升财会监督工作质效.md
MAGSUPV-0098,吉林省财政厅：预算绩效管理建设跑出“加速度”案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,财政监督,吉林省财政厅：预算绩效管理建设跑出“加速度”,吉林省财政厅：预算绩效管理建设跑出“加速度”,违规；风险；内控；完整性；绩效；偏离；预警；违法,数据；清单；预算；决算；指标；报表；采购；结算；绩效目标；资产；申报；资金,算法；指标；评价；核查；预警；测算；分析；研究；体系；路径；机制；方法,基于杂志案例《吉林省财政厅：预算绩效管理建设跑出“加速度”》提炼“吉林省财政厅：预算绩效管理建设跑出“加速度””审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,吉林省财政厅：预算绩效管理建设跑出“加速度”疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.吉林省财政厅：预算绩效管理 建设跑出“加速度”.md
MAGSUPV-0099,多个账户长期未纳入法定账簿核算案例检测算法,杂志案例算法,algorithm,P1,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,财政监督,多个账户长期未纳入法定账簿核算,多个账户长期未纳入法定账簿核算,违规；闲置；内控；真实性；完整性；预警；违法；隐患；漏洞；腐败,支付；流水；结算；缴纳；资金；会计,预警；识别；分析；体系；机制；方法,基于杂志案例《多个账户长期未纳入法定账簿核算》提炼“多个账户长期未纳入法定账簿核算”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,多个账户长期未纳入法定账簿核算疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.多个账户长期未纳入法定账簿核算.md
MAGFIN-0021,实际控制人侵占上市公司利益案例检测算法,杂志案例算法,algorithm,P1,L3,金融审计 / 国企审计 / 监督检查与经费舞弊,财政监督/金融审计,案例规则,data_scout / contract_hound,财政监督,实际控制人侵占上市公司利益,实际控制人侵占上市公司利益,违规；风险；违法,数据；清单；合同；发票；凭证；支付；报表；采购；结算；资产；资金；会计,核查；关联；识别；测算；分析；体系；机制；方法,基于杂志案例《实际控制人侵占上市公司利益》提炼“实际控制人侵占上市公司利益”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,实际控制人侵占上市公司利益疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.实际控制人侵占上市公司利益.md
MAGTAX-0019,山东威海火炬高技术产业开发区：稳步推进预算绩效管理工作案例指标包,杂志指标包,indicator_pack,P1,L3,税务审计 / 预算执行与财政管理 / 财政与政府债务,财政监督/税务审计,绩效偏离,data_scout / law_inspector,财政监督,山东威海火炬高技术产业开发区：稳步推进预算绩效管理工作,山东威海火炬高技术产业开发区：稳步推进预算绩效管理工作,违规；风险；内控；绩效；偏离；违法；隐患,数据；清单；支付；预算；指标；项目库；采购；绩效目标；资产；申报；资金；会计,指标；评价；核查；分析；研究；体系；机制,基于杂志案例《山东威海火炬高技术产业开发区：稳步推进预算绩效管理工作》提炼“山东威海火炬高技术产业开发区：稳步推进预算绩效管理工作”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,山东威海火炬高技术产业开发区：稳步推进预算绩效管理工作指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.山东威海火炬高技术产业开发 区：稳步推进预算绩效管理工作.md
MAGBUD-0047,山东青岛：打造“四三二一”模式案例指标包,杂志指标包,indicator_pack,P1,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,绩效偏离,budget_estimator / data_scout,财政监督,山东青岛：打造“四三二一”模式,山东青岛：打造“四三二一”模式,违规；异常；绩效；漏洞；腐败,数据；清单；预算；决算；指标；采购；绩效目标；资金；会计,指标；评价；核查；体系；机制,基于杂志案例《山东青岛：打造“四三二一”模式》提炼“山东青岛：打造“四三二一”模式”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,山东青岛：打造“四三二一”模式指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.山东青岛：打造“四三二一”模式.md
MAGBUD-0048,江苏苏州：正式建立财政监督基层联系点制度内控核查包,杂志内控包,control_pack,P1,L2,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,内控缺陷,budget_estimator / data_scout,财政监督,江苏苏州：正式建立财政监督基层联系点制度,江苏苏州：正式建立财政监督基层联系点制度,违规；风险；闲置；缺陷；绩效；隐患；漏洞,数据；预算；指标；结算；资金,规则；指标；评价；分析；研究；体系；机制；方法,基于杂志案例《江苏苏州：正式建立财政监督基层联系点制度》提炼“江苏苏州：正式建立财政监督基层联系点制度”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,江苏苏州：正式建立财政监督基层联系点制度控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.江苏苏州：正式建立财政监督 基层联系点制度.md
MAGFIN-0022,法人大户融资风险敏捷审计研究案例检测算法,杂志案例算法,algorithm,P0,L3,金融审计 / 国企审计 / 监督检查与经费舞弊,财政监督/金融审计,异常性,data_scout / contract_hound,财政监督,法人大户融资风险敏捷审计研究,法人大户融资风险敏捷审计研究,违规；异常；风险；损失；不合规；完整性；预警；违法；失真；隐患,数据；清单；明细；指标；样本；审批；资产；资金；审计报告,模型；指标；评价；核查；关联；抽样；预警；监测；识别；分析；勾稽；验证,基于杂志案例《法人大户融资风险敏捷审计研究》提炼“法人大户融资风险敏捷审计研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,法人大户融资风险敏捷审计研究疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.法人大户融资风险敏捷审计研究.md
MAGBUD-0049,精准把脉户外资产数字赋能高效监管案例检测算法,杂志案例算法,algorithm,P1,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,案例规则,budget_estimator / data_scout,财政监督,精准把脉户外资产数字赋能高效监管,精准把脉户外资产数字赋能高效监管,异常；预警；违法,数据；资产；资金,预警；监测；识别；检测；体系；数字化,基于杂志案例《精准把脉户外资产数字赋能高效监管》提炼“精准把脉户外资产数字赋能高效监管”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,精准把脉户外资产数字赋能高效监管疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.精准把脉户外资产数字赋能高效监管.md
MAGSOC-0032,肃清“微腐败”强化惠民惠农财政补贴资金监管案例检测算法,杂志案例算法,algorithm,P1,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,肃清“微腐败”强化惠民惠农财政补贴资金监管,肃清“微腐败”强化惠民惠农财政补贴资金监管,违规；风险；重复；挪用；损失；截留；违法；错报；漏洞；腐败,数据；台账；明细；凭证；报表；审批；资金；会计,规则；比对；核查；分析；审查；机制；方法；大数据,基于杂志案例《肃清“微腐败”强化惠民惠农财政补贴资金监管》提炼“肃清“微腐败”强化惠民惠农财政补贴资金监管”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,肃清“微腐败”强化惠民惠农财政补贴资金监管疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.肃清“微腐败”强化惠民惠农财政补贴资金监管.md
MAGSOC-0033,财政支出培训项目绩效评价指标体系构建研究案例检测算法,杂志案例算法,algorithm,P0,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,财政支出培训项目绩效评价指标体系构建研究,财政支出培训项目绩效评价指标体系构建研究,真实性；完整性；绩效,数据；预算；指标；问卷；资金；会计,模型；指标；评价；评分；核查；分析；研究；体系；机制；方法；数字化,基于杂志案例《财政支出培训项目绩效评价指标体系构建研究》提炼“财政支出培训项目绩效评价指标体系构建研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,财政支出培训项目绩效评价指标体系构建研究疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.财政支出培训项目绩效评价指标体系构建研究.md
MAGSUPV-0100,财政部宁波监管局：“五步法”督促会计师事务所提升执业质案例检测算法,杂志案例算法,algorithm,P1,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,财政监督,财政部宁波监管局：“五步法”督促会计师事务所提升执业质,财政部宁波监管局：“五步法”督促会计师事务所提升执业质,风险；低效；内控；完整性；绩效,预算；项目库；样本；审批；绩效目标；资产；资金；会计,评价；关联；识别；测算；体系；机制；方法,基于杂志案例《财政部宁波监管局：“五步法”督促会计师事务所提升执业质》提炼“财政部宁波监管局：“五步法”督促会计师事务所提升执业质”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,财政部宁波监管局：“五步法”督促会计师事务所提升执业质疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.财政部宁波监管局：“五步法” 督促会计师事务所提升执业质.md
MAGBUD-0050,“三高三全”推进内控建设加力提升财政监管质效内控核查包,杂志内控包,control_pack,P1,L2,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,内控缺陷,budget_estimator / data_scout,财政监督,“三高三全”推进内控建设加力提升财政监管质效,“三高三全”推进内控建设加力提升财政监管质效,风险；损失；内控；隐患；漏洞,合同；预算；采购；资产,核查；研究；体系；机制,基于杂志案例《“三高三全”推进内控建设加力提升财政监管质效》提炼““三高三全”推进内控建设加力提升财政监管质效”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,“三高三全”推进内控建设加力提升财政监管质效控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.“三高三全”推进内控建设加力提升财政监管质效.md
MAGBUD-0051,“四举措”做好驻粤中央行政事业单位内部控制报告喝茶工作案例检测算法,杂志案例算法,algorithm,P1,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,案例规则,budget_estimator / data_scout,财政监督,“四举措”做好驻粤中央行政事业单位内部控制报告喝茶工作,“四举措”做好驻粤中央行政事业单位内部控制报告喝茶工作,风险；完整性；漏洞,数据；台账；清单；合同；凭证；预算；指标；报表；采购；资产；资金；会计,指标；评价；比对；核查；分析；验证；体系；机制,基于杂志案例《“四举措”做好驻粤中央行政事业单位内部控制报告喝茶工作》提炼““四举措”做好驻粤中央行政事业单位内部控制报告喝茶工作”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,“四举措”做好驻粤中央行政事业单位内部控制报告喝茶工作疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.“四举措”做好驻粤中央行政事业单位内部控制报告喝茶工作.md
MAGSOC-0034,公立医院内部控制信息化体系研究案例检测算法,杂志案例算法,algorithm,P0,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,公立医院内部控制信息化体系研究,公立医院内部控制信息化体系研究,违规；风险；舞弊；超标；损失；内控；缺陷；真实性；绩效；腐败,数据；明细；合同；凭证；支付；预算；决算；指标；审批；采购；结算；资产,指标；评价；关联；识别；分析；验证；研究；体系；路径；机制；方法；数字化,基于杂志案例《公立医院内部控制信息化体系研究》提炼“公立医院内部控制信息化体系研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,公立医院内部控制信息化体系研究疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.公立医院内部控制信息化体系研究.md
MAGAGR-0027,县级财政支持乡村振兴面临的困难及建议案例检测算法,杂志案例算法,algorithm,P0,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,财政监督,县级财政支持乡村振兴面临的困难及建议,县级财政支持乡村振兴面临的困难及建议,违规；异常；风险；重复；超预算；挪用；损失；低效；闲置；截留；内控；绩效,数据；台账；清单；明细；支付；预算；决算；指标；项目库；审批；采购；投标,指标；评价；核查；预警；监测；分析；研究；体系；路径；机制,基于杂志案例《县级财政支持乡村振兴面临的困难及建议》提炼“县级财政支持乡村振兴面临的困难及建议”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,县级财政支持乡村振兴面临的困难及建议疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.县级财政支持乡村振兴面临的困难及建议.md
MAGSOC-0035,基层财政监督促共富路径探索案例检测算法,杂志案例算法,algorithm,P0,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,基层财政监督促共富路径探索,基层财政监督促共富路径探索,风险；重复；内控；绩效；预警,数据；清单；支付；预算；指标；审批；采购；绩效目标；申报；资金；会计,算法；规则；指标；评价；核查；预警；监测；识别；分析；研究；体系；路径,基于杂志案例《基层财政监督促共富路径探索》提炼“基层财政监督促共富路径探索”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,基层财政监督促共富路径探索疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.基层财政监督促共富路径探索.md
MAGBUD-0052,强化内控机制建设提升财政治理能力案例检测算法,杂志案例算法,algorithm,P0,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,案例规则,budget_estimator / data_scout,财政监督,强化内控机制建设提升财政治理能力,强化内控机制建设提升财政治理能力,违规；风险；舞弊；内控；缺陷；绩效；预警；违法；漏洞,数据；台账；清单；合同；凭证；支付；预算；决算；指标；报表；审批；采购,指标；评价；比对；关联；预警；研究；体系；机制；方法；数字化,基于杂志案例《强化内控机制建设提升财政治理能力》提炼“强化内控机制建设提升财政治理能力”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,强化内控机制建设提升财政治理能力疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.强化内控机制建设提升财政治理能力.md
MAGAGR-0028,流转税税收优惠政策的激励效果案例检测算法,杂志案例算法,algorithm,P0,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,财政监督,流转税税收优惠政策的激励效果,流转税税收优惠政策的激励效果,,数据；明细；指标；样本；资产；税收；资金,模型；指标；比对；回归；识别；分析；验证；研究；体系；机制；方法,基于杂志案例《流转税税收优惠政策的激励效果》提炼“流转税税收优惠政策的激励效果”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；纳税申报表；发票明细；税收优惠台账,流转税税收优惠政策的激励效果疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.流转税税收优惠政策的激励效果.md
MAGSOC-0036,相对贫困视域下我国转移支付资金监管问题研究案例检测算法,杂志案例算法,algorithm,P0,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,相对贫困视域下我国转移支付资金监管问题研究,相对贫困视域下我国转移支付资金监管问题研究,损失；绩效；偏离；漏洞；腐败,数据；支付；预算；决算；指标；绩效目标；资金,算法；指标；评价；分析；研究；体系；路径；机制；方法；大数据,基于杂志案例《相对贫困视域下我国转移支付资金监管问题研究》提炼“相对贫困视域下我国转移支付资金监管问题研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,相对贫困视域下我国转移支付资金监管问题研究疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.相对贫困视域下我国转移支付资金监管问题研究.md
MAGSUPV-0101,统筹规划“规定+自选”动作建立“专项+日常”财会监督工作机制内控核查包,杂志内控包,control_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,财政监督,统筹规划“规定+自选”动作建立“专项+日常”财会监督工作机制,统筹规划“规定+自选”动作建立“专项+日常”财会监督工作机制,异常；风险；骗补；内控；绩效,数据；明细；支付；预算；决算；资产；资金；会计,评价；核查；监测；分析；机制,基于杂志案例《统筹规划“规定+自选”动作建立“专项+日常”财会监督工作机制》提炼“统筹规划“规定+自选”动作建立“专项+日常”财会监督工作机制”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,统筹规划“规定+自选”动作建立“专项+日常”财会监督工作机制控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.统筹规划“规定+自选”动作建立 “专项+日常”财会监督工作机制.md
MAGSUPV-0102,调节成本操控业绩案例检测算法,杂志案例算法,algorithm,P1,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,财政监督,调节成本操控业绩,调节成本操控业绩,违规；风险；舞弊；内控；绩效,合同；支付；指标；报表；采购；结算；资产；缴纳；税收；会计,指标；比对；核查；关联；测算；分析；研究；体系；机制；方法,基于杂志案例《调节成本操控业绩》提炼“调节成本操控业绩”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,调节成本操控业绩疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.调节成本操控业绩.md
MAGAGR-0029,财政部辽宁监管局：前移监管关口提早介入项目以全流程监管精准护航国债资金案例检测算法,杂志案例算法,algorithm,P1,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,财政监督,财政部辽宁监管局：前移监管关口提早介入项目以全流程监管精准护航国债资金,财政部辽宁监管局：前移监管关口提早介入项目以全流程监管精准护航国债资金,绩效；偏离；预警,支付；预算；决算；指标；报表；采购；绩效目标；资金,指标；评价；预警；测算；分析；审查；研究；体系；机制,基于杂志案例《财政部辽宁监管局：前移监管关口提早介入项目以全流程监管精准护航国债资金》提炼“财政部辽宁监管局：前移监管关口提早介入项目以全流程监管精准护航国债资金”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,财政部辽宁监管局：前移监管关口提早介入项目以全流程监管精准护航国债资金疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.财政部辽宁监管局：前移监管 关 口 提 早 介 入 项 目 以全流 程监管精准护航国债资金.md
MAGSOC-0037,以预算管理改革提升财政资金使用绩效案例检测算法,杂志案例算法,algorithm,P0,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,以预算管理改革提升财政资金使用绩效,以预算管理改革提升财政资金使用绩效,风险；虚假；超标；低效；闲置；绩效；偏离；预警,数据；台账；清单；支付；预算；指标；项目库；审批；采购；结算；绩效目标；资产,指标；评价；核查；关联；预警；监测；测算；分析；审查；研究；体系；机制,基于杂志案例《以预算管理改革提升财政资金使用绩效》提炼“以预算管理改革提升财政资金使用绩效”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,以预算管理改革提升财政资金使用绩效疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\16.以预算管理改革提升财政资金使用绩效.md
MAGAGR-0030,农业保险中的利益需求风险及对策探析案例检测算法,杂志案例算法,algorithm,P0,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,异常性,data_scout / law_inspector,财政监督,农业保险中的利益需求风险及对策探析,农业保险中的利益需求风险及对策探析,违规；风险；挪用；骗保；损失；漏洞,数据；支付；指标；保单；理赔；申报；缴纳；资金,指标；分析；研究；机制；方法,基于杂志案例《农业保险中的利益需求风险及对策探析》提炼“农业保险中的利益需求风险及对策探析”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,农业保险中的利益需求风险及对策探析疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\16.农业保险中的利益需求风险及对策探析.md
MAGAGR-0031,农田建设补助资金管理探讨案例检测算法,杂志案例算法,algorithm,P0,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,财政监督,农田建设补助资金管理探讨,农田建设补助资金管理探讨,,支付；预算；决算；指标；审批；招标；资金,指标；评价；测算；分析；检测；体系；机制；方法；数字化,基于杂志案例《农田建设补助资金管理探讨》提炼“农田建设补助资金管理探讨”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,农田建设补助资金管理探讨疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\16.农田建设补助资金管理探讨.md
MAGBUD-0053,宝钢股份基于“双碳”目标的战略成本管理实践与启示案例检测算法,杂志案例算法,algorithm,P0,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,案例规则,budget_estimator / data_scout,财政监督,宝钢股份基于“双碳”目标的战略成本管理实践与启示,宝钢股份基于“双碳”目标的战略成本管理实践与启示,风险；损失；绩效,数据；预算；指标；采购；资产；能耗；碳排放,模型；指标；评价；关联；分析；研究；体系；机制；方法；数字化；人工智能,基于杂志案例《宝钢股份基于“双碳”目标的战略成本管理实践与启示》提炼“宝钢股份基于“双碳”目标的战略成本管理实践与启示”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,宝钢股份基于“双碳”目标的战略成本管理实践与启示疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\16.宝钢股份基于“双碳”目标的战略成本管理实践与启示.md
