case_id,title,source_top,source_file,scene,case_type,risk_terms,data_terms,method_terms,evidence_chain,usable_for,suggested_algorithm_upgrade,summary
BOOKEVID-041,高级审计技术方法,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md,全场景通用 / 监督检查与经费舞弊 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；挪用；套取,数据；清单；明细；合同；发票；凭证；支付；预算,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,高级审计技术方法章节规则化抽取,从《高级审计技术方法》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-042,中央部门预算执行审计常用定性表述及适用法规向导,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\中央部门预算执行审计常用定性表述及适用法规向导.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；风险；舞弊；虚假；重复；超标；超预算；挪用,数据；台账；清单；明细；合同；发票；凭证；支付,算法；规则；指标；评价；评分；核查；关联；监测,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,中央部门预算执行审计常用定性表述及适用法规向导章节规则化抽取,从《中央部门预算执行审计常用定性表述及适用法规向导》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-043,全面实施预算绩效管理实践指导,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\全面实施预算绩效管理实践指导.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；重复；超标；超概算；挪用；损失,数据；台账；清单；明细；合同；支付；预算；决算,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,全面实施预算绩效管理实践指导章节规则化抽取,从《全面实施预算绩效管理实践指导》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-044,全面实施预算绩效管理案例解读,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\全面实施预算绩效管理案例解读.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；重复；超概算；损失；低效；闲置,数据；台账；清单；明细；合同；发票；凭证；支付,模型；规则；指标；评价；评分；比对；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,全面实施预算绩效管理案例解读章节规则化抽取,从《全面实施预算绩效管理案例解读》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-045,发电基本建设项目竣工财务决算编制实务,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\发电基本建设项目竣工财务决算编制实务.pdf.md,预算执行与财政管理 / 工程与投资审计 / 绩效评价,书籍章节证据模板,风险；虚假；重复；超标；超概算；挪用；损失；内控,数据；台账；清单；明细；合同；发票；凭证；支付,算法；规则；指标；评价；核查；关联；预警；监测,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,发电基本建设项目竣工财务决算编制实务章节规则化抽取,从《发电基本建设项目竣工财务决算编制实务》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-046,建立全过程预算绩效管理体系,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\建立全过程预算绩效管理体系.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；舞弊；重复；挪用；损失；低效,数据；合同；凭证；支付；预算；决算；指标；项目库,算法；模型；规则；指标；评价；评分；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,建立全过程预算绩效管理体系章节规则化抽取,从《建立全过程预算绩效管理体系》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-047,成本预算绩效分析方法与案例,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\成本预算绩效分析方法与案例.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,异常；风险；重复；超标；超概算；损失；低效；闲置,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,成本预算绩效分析方法与案例章节规则化抽取,从《成本预算绩效分析方法与案例》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-048,政府部门预算管理,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\政府部门预算管理.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；虚假；重复；超标；超预算；挪用,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,政府部门预算管理章节规则化抽取,从《政府部门预算管理》抽取10个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-049,新能源发电工竣工决算编制理论与实务,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\新能源发电工竣工决算编制理论与实务.pdf.md,预算执行与财政管理 / 工程与投资审计 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超概算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,新能源发电工竣工决算编制理论与实务章节规则化抽取,从《新能源发电工竣工决算编制理论与实务》抽取10个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-050,水利基本建设项目竣工财务决算编制教程,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\水利基本建设项目竣工财务决算编制教程.pdf.md,预算执行与财政管理 / 工程与投资审计 / 绩效评价,书籍章节证据模板,违规；风险；舞弊；虚假；重复；超标；超预算；超概算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；比对；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,水利基本建设项目竣工财务决算编制教程章节规则化抽取,从《水利基本建设项目竣工财务决算编制教程》抽取10个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-051,部门整体预算绩效评价研究,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\部门整体预算绩效评价研究.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；风险；虚假；重复；超标；超概算；挪用；损失,数据；明细；合同；支付；预算；决算；指标；项目库,算法；模型；规则；指标；评价；评分；比对；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,部门整体预算绩效评价研究章节规则化抽取,从《部门整体预算绩效评价研究》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-052,部门预算执行审计指南,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\部门预算执行审计指南.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,部门预算执行审计指南章节规则化抽取,从《部门预算执行审计指南》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-053,部门预算绩效管理,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\部门预算绩效管理.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；风险；虚假；重复；超标；超预算；挪用；损失,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,部门预算绩效管理章节规则化抽取,从《部门预算绩效管理》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-054,预算绩效评价方法与指标,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\预算绩效评价方法与指标.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；重复；超标；挪用；套取；损失,数据；清单；明细；合同；发票；凭证；支付；流水,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,预算绩效评价方法与指标章节规则化抽取,从《预算绩效评价方法与指标》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-055,预算项目政策绩效评价研究,预算,E:\2026\审计方法&政策文件\_ocr_output\预算\预算项目政策绩效评价研究.pdf.md,预算执行与财政管理 / 绩效评价 / 财政与政府债务,书籍章节证据模板,异常；风险；重复；挪用；损失；低效；闲置；截留,数据；台账；明细；合同；支付；流水；预算；指标,算法；模型；规则；指标；评价；评分；比对；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,预算项目政策绩效评价研究章节规则化抽取,从《预算项目政策绩效评价研究》抽取6个算法/规则/指标包，并形成书籍级证据模板。
